Date,Open
2024-03-27,72.500000
2024-03-28,72.419998
2024-04-01,73.550003
2024-04-02,74.400002
2024-04-03,76.059998
2024-04-04,77.110001
2024-04-05,77.800003
2024-04-08,79.300003
2024-04-09,80.980003
2024-04-10,81.470001
2024-04-12,82.500000
2024-04-15,81.980003
2024-04-16,82.019997
2024-04-18,81.830002
2024-04-19,81.970001
2024-04-22,80.830002
2024-04-23,78.570000
2024-04-24,79.599998
2024-04-25,78.610001
2024-04-26,79.690002
2024-04-29,79.449997
2024-04-30,78.989998
2024-05-02,78.559998
2024-05-03,78.610001
2024-05-06,79.599998
2024-05-07,80.050003
2024-05-08,80.120003
2024-05-09,80.500000
2024-05-10,81.900002
2024-05-13,82.500000
2024-05-14,82.360001
2024-05-15,82.599998
2024-05-16,84.199997
2024-05-17,84.489998
2024-05-21,90.320000
2024-05-22,91.050003
2024-05-23,88.940002
2024-05-24,87.639999
2024-05-27,88.419998
2024-05-28,91.120003
2024-05-29,92.330002
2024-05-30,91.699997
2024-05-31,90.000000
2024-06-03,88.440002
2024-06-04,89.000000
2024-06-05,87.000000
2024-06-06,89.349998
2024-06-07,90.330002
2024-06-10,87.199997
2024-06-11,86.400002
2024-06-12,87.129997
2024-06-13,86.489998
2024-06-14,86.239998
2024-06-18,87.480003
2024-06-19,87.480003
2024-06-20,87.809998
2024-06-21,89.010002
2024-06-24,87.290001
2024-06-25,86.739998
2024-06-26,85.589996
2024-06-27,86.000000
2024-06-28,85.889999
2024-07-01,87.000000
2024-07-02,85.660004
2024-07-03,86.900002
2024-07-04,88.470001
2024-07-05,88.690002
2024-07-08,100.000000
2024-07-09,89.489998
2024-07-10,89.550003
2024-07-11,90.199997
2024-07-12,90.169998
2024-07-15,89.919998
2024-07-16,89.779999
2024-07-18,89.239998
2024-07-19,88.190002
2024-07-22,86.989998
2024-07-23,86.900002
2024-07-24,86.010002
2024-07-25,82.709999
2024-07-26,79.900002
2024-07-29,81.010002
2024-07-30,79.989998
2024-07-31,81.010002
2024-08-01,82.050003
2024-08-02,82.000000
2024-08-05,82.050003
2024-08-06,79.160004
2024-08-07,78.989998
2024-08-08,78.500000
2024-08-09,79.360001
2024-08-12,78.209999
2024-08-13,79.650002
2024-08-14,79.480003
2024-08-16,79.949997
2024-08-19,81.410004
2024-08-20,82.330002
2024-08-21,82.989998
2024-08-22,83.089996
2024-08-23,82.250000
2024-08-26,82.800003
2024-08-27,83.989998
2024-08-28,84.180000
2024-08-29,83.309998
2024-08-30,83.279999
2024-09-02,80.879997
2024-09-03,80.839996
2024-09-04,79.879997
2024-09-05,79.809998
2024-09-06,81.279999
2024-09-09,80.199997
2024-09-10,79.989998
2024-09-11,80.599998
2024-09-12,81.290001
2024-09-13,83.559998
2024-09-16,85.699997
2024-09-17,86.139999
2024-09-18,85.190002
2024-09-19,84.900002
2024-09-20,86.099998
2024-09-23,86.480003
2024-09-24,86.220001
2024-09-25,88.010002
2024-09-26,88.800003
2024-09-27,88.980003
2024-09-30,87.989998
2024-10-01,87.639999
2024-10-03,88.199997
2024-10-04,89.500000
2024-10-07,90.300003
2024-10-08,88.489998
2024-10-09,86.290001
2024-10-10,86.699997
2024-10-11,86.129997
2024-10-14,87.820000
2024-10-15,87.949997
2024-10-16,88.949997
2024-10-17,88.690002
2024-10-18,89.330002
2024-10-21,94.120003
2024-10-22,94.839996
2024-10-23,95.620003
2024-10-24,94.580002
2024-10-25,93.480003
2024-10-28,93.230003
2024-10-29,94.570000
2024-10-30,95.410004
2024-10-31,94.400002
2024-11-01,94.269997
2024-11-04,92.489998
2024-11-05,91.570000
2024-11-06,90.989998
2024-11-07,88.699997
2024-11-08,89.019997
2024-11-11,88.470001
2024-11-12,87.180000
2024-11-13,87.220001
2024-11-14,85.910004
2024-11-18,86.430000
2024-11-19,88.220001
2024-11-21,87.970001
2024-11-22,87.989998
2024-11-25,87.440002
2024-11-26,85.959999
2024-11-27,86.440002
2024-11-28,85.190002
2024-11-29,86.239998
2024-12-02,86.290001
2024-12-03,86.849998
2024-12-04,87.980003
2024-12-05,88.370003
2024-12-06,88.680000
2024-12-09,88.190002
2024-12-10,90.669998
2024-12-11,90.989998
2024-12-12,91.169998
2024-12-13,88.180000
2024-12-16,86.989998
2024-12-17,87.269997
2024-12-18,86.839996
2024-12-19,84.989998
2024-12-20,83.489998
2024-12-23,84.919998
2024-12-24,85.800003
2024-12-26,85.949997
2024-12-27,85.489998
2024-12-30,86.849998
2024-12-31,83.870003
2025-01-01,83.589996
2025-01-02,84.690002
2025-01-03,85.949997
2025-01-06,85.589996
2025-01-07,86.720001
2025-01-08,87.040001
2025-01-09,87.570000
2025-01-10,88.500000
2025-01-13,87.790001
2025-01-14,86.180000
2025-01-15,86.699997
2025-01-16,88.510002
2025-01-17,88.379997
2025-01-20,87.379997
2025-01-21,88.019997
2025-01-22,88.220001
2025-01-23,88.500000
2025-01-24,88.400002
2025-01-27,87.839996
2025-01-28,87.180000
2025-01-29,87.750000
2025-01-30,88.809998
2025-01-31,90.019997
2025-02-01,90.989998
2025-02-03,90.000000
2025-02-04,91.000000
2025-02-05,92.029999
2025-02-06,92.639999
2025-02-07,92.120003
2025-02-10,92.449997
2025-02-11,92.279999
2025-02-12,91.370003
2025-02-13,92.250000
2025-02-14,93.150002
2025-02-17,93.989998
2025-02-18,92.660004
2025-02-19,93.739998
2025-02-20,94.480003
2025-02-21,94.180000
2025-02-24,93.900002
2025-02-25,93.199997
2025-02-27,92.699997
2025-02-28,90.989998
2025-03-03,91.000000
2025-03-04,92.250000
2025-03-05,93.150002
2025-03-06,93.639999
2025-03-07,94.000000
2025-03-10,94.949997
2025-03-11,93.400002
2025-03-12,94.410004
2025-03-13,95.180000
2025-03-17,96.739998
2025-03-18,96.480003
2025-03-19,97.650002
2025-03-20,96.779999
2025-03-21,95.180000
2025-03-24,94.250000
2025-03-25,94.180000
2025-03-26,95.339996
2025-03-27,96.800003
2025-03-28,97.019997
2025-04-01,97.949997
2025-04-02,96.699997
2025-04-03,95.379997
2025-04-04,90.480003
2025-04-07,86.019997
2025-04-08,87.750000
2025-04-09,87.230003
2025-04-11,89.730003
2025-04-15,91.809998
2025-04-16,92.500000
2025-04-17,92.989998
2025-04-21,92.709999
2025-04-22,93.139999
2025-04-23,92.980003
2025-04-24,94.209999
2025-04-25,94.970001
2025-04-28,94.949997
2025-04-29,93.010002
2025-04-30,93.879997
2025-05-02,91.620003
2025-05-05,91.080002
2025-05-06,92.629997
2025-05-07,93.290001
2025-05-08,92.760002
2025-05-09,92.589996
2025-05-12,92.879997
2025-05-13,93.449997
2025-05-14,92.989998
2025-05-15,91.559998
2025-05-16,92.320000
2025-05-19,92.330002
2025-05-20,92.169998
2025-05-21,94.040001
2025-05-22,95.160004
2025-05-23,94.489998
2025-05-26,94.940002
2025-05-27,94.529999
2025-05-28,94.430000
2025-05-29,94.589996
2025-05-30,94.440002
2025-06-02,94.330002
2025-06-03,96.199997
2025-06-04,98.000000
2025-06-05,98.570000
2025-06-06,102.769997
2025-06-09,102.410004
2025-06-10,103.110001
2025-06-11,103.449997
2025-06-12,103.370003
2025-06-13,103.559998
2025-06-16,104.879997
2025-06-17,103.379997
2025-06-18,105.750000
2025-06-19,105.750000
2025-06-20,102.970001
2025-06-23,103.309998
2025-06-24,103.480003
2025-06-25,102.220001
2025-06-26,103.889999
2025-06-27,106.000000
2025-06-30,102.550003
2025-07-01,102.459999
2025-07-02,102.480003
2025-07-03,103.029999
2025-07-04,104.160004
2025-07-07,104.389999
2025-07-08,104.330002
2025-07-09,103.870003
2025-07-10,103.540001
2025-07-11,105.510002
2025-07-14,109.000000
2025-07-15,108.180000
2025-07-16,107.500000
2025-07-17,107.980003
2025-07-18,109.809998
2025-07-21,109.290001
2025-07-22,110.050003
2025-07-23,110.989998
2025-07-24,110.320000
2025-07-25,111.239998
2025-07-28,109.290001
2025-07-29,109.480003
2025-07-30,109.980003
2025-07-31,107.870003
2025-08-01,106.309998
2025-08-04,107.349998
2025-08-05,108.550003
2025-08-06,109.400002
2025-08-07,110.070000
2025-08-08,110.900002
2025-08-11,110.199997
2025-08-12,109.519997
2025-08-13,110.220001
2025-08-14,111.120003
2025-08-18,110.370003
2025-08-19,109.599998
2025-08-20,107.400002
2025-08-21,109.279999
2025-08-22,110.349998
2025-08-25,111.669998
2025-08-26,112.150002
2025-08-28,112.599998
2025-08-29,113.199997
2025-09-01,118.050003
2025-09-02,119.000000
2025-09-03,118.019997
2025-09-04,118.449997
2025-09-05,118.779999
2025-09-08,118.800003
2025-09-09,120.440002
2025-09-10,119.690002
2025-09-11,119.389999
2025-09-12,122.279999
2025-09-15,123.699997
2025-09-16,124.000000
2025-09-17,122.949997
2025-09-18,121.940002
2025-09-19,124.250000
2025-09-22,127.029999
2025-09-23,128.509995
2025-09-24,130.179993
2025-09-25,129.750000
2025-09-26,132.199997
2025-09-29,138.429993
2025-09-30,139.990005
2025-10-01,139.470001
2025-10-03,138.699997
2025-10-06,142.509995
2025-10-07,143.779999
2025-10-08,143.949997
2025-10-09,150.929993
2025-10-10,156.100006
2025-10-13,157.759995
2025-10-14,168.440002
2025-10-15,177.800003
2025-10-16,173.619995
2025-10-17,163.899994
2025-10-20,155.919998
2025-10-21,147.500000
2025-10-23,142.990005
2025-10-27,138.110001
2025-10-28,137.100006
2025-10-29,137.820007
2025-10-30,139.880005
2025-10-31,142.970001
2025-11-03,143.289993
2025-11-04,140.339996
2025-11-06,140.940002
2025-11-07,141.669998
2025-11-10,144.169998
2025-11-11,148.970001
2025-11-12,148.320007
2025-11-13,156.210007
2025-11-14,156.279999
2025-11-17,150.000000
2025-11-18,146.899994
2025-11-19,148.020004
2025-11-20,149.389999
2025-11-21,146.490005
2025-11-24,146.970001
2025-11-25,149.330002
2025-11-26,150.520004
2025-11-27,153.500000
2025-11-28,156.419998
2025-12-01,166.020004
2025-12-02,167.009995
2025-12-03,170.199997
2025-12-04,169.779999
2025-12-05,168.169998
2025-12-08,170.169998
2025-12-09,170.839996
2025-12-10,176.550003
2025-12-11,177.399994
2025-12-12,183.320007
2025-12-15,182.039993
2025-12-16,181.699997
2025-12-17,190.000000
2025-12-18,194.789993
2025-12-19,190.000000
2025-12-22,197.130005
2025-12-23,202.000000
2025-12-24,209.449997
